Run Index,Seed,Center,Time,E[T_S],E[N_S],E[T_Q],E[N_Q]
1,123456789,Ricarica,6343.62679447083,NaN,0.0,0.0,0.0
1,123456789,Ricarica,7102.337527329238,Infinity,0.10682549652687563,0.0,0.0
1,123456789,Ricarica,8435.712914013693,3425.4615062273188,0.4060666290026093,0.0,0.0
1,123456789,Ricarica,9038.137284510776,2013.942938362201,0.4456544252350806,0.0,0.0
1,123456789,Ricarica,9531.779102519182,2013.942938362201,0.42257440435855886,0.0,0.0
1,123456789,Ricarica,11236.478418914061,2866.2925965596405,0.5101763185403155,0.0,0.0
1,123456789,Ricarica,13631.096106479054,5260.910284124633,0.7718983481635123,0.0,0.0
1,123456789,Ricarica,14330.753840136462,4206.931256407163,0.880678986605307,0.0,0.0
1,123456789,Ricarica,14653.127879185375,3316.385461829829,0.9053044480805282,0.0,0.0
1,123456789,Ricarica,14788.65788584005,2680.2143707947985,0.9061722813133264,0.0,0.0
1,123456789,Ricarica,14824.435975959352,2680.2143707947985,0.9039852764520946,0.0,0.0
1,123456789,Ricarica,15139.585194169153,2743.2442144367587,0.9059839418497706,0.0,0.0
1,123456789,Ricarica,15194.17675632232,2765.0808392980257,0.9099146612689862,0.0,0.0
1,123456789,Ricarica,15219.764825582151,2780.433680853924,0.9134285952238994,0.0,0.0
1,123456789,Ricarica,15277.238183715714,2355.3436394673117,0.9250403552565863,0.0,0.0
1,123456789,Ricarica,16635.184560073616,3034.3168276462625,1.0944213393083635,0.0,0.0
1,123456789,Ricarica,16846.858960759524,2721.7997955173155,1.130928834449163,0.0,0.0
1,123456789,Ricarica,19259.24220431329,3286.2185374103133,1.3650458320418581,0.0,0.0
1,123456789,Ricarica,20097.293603906637,3495.73138730865,1.3915232393795065,0.0,0.0
1,123456789,Ricarica,20183.21811710739,3135.9582931190507,1.398370887849098,0.0,0.0
1,123456789,Ricarica,21860.6452776362,3157.8478959129075,1.4445355367178654,0.0,0.0
1,123456789,Ricarica,24480.18475438667,3419.8018435879553,1.3969673341518192,0.0,0.0
1,123456789,Ricarica,24725.239450032135,3153.4661661064074,1.402944060350663,0.0,0.0
