Seed,Center,Time
123456789,Strada,175.31145860277522
123456789,Strada,214.99917658907964
123456789,Strada,627.1745344818112
123456789,Strada,1407.796075558785
123456789,Strada,1490.0824127345195
123456789,Strada,2459.818435512743
123456789,Strada,3213.3517466962194
123456789,Strada,3427.7741350801157
123456789,Strada,3867.3060917558387
123456789,Strada,4023.604858576515
123456789,Strada,4298.0968856340105
123456789,Strada,4436.233519889595
123456789,Strada,4554.836589697327
123456789,Strada,4584.695325078954
123456789,Strada,4590.142524579886
123456789,Strada,4715.622884542192
123456789,Strada,4717.363397152592
123456789,Strada,5007.37270230224
123456789,Strada,5509.910947951645
123456789,Strada,5995.724975166246
123456789,Strada,6106.493224725615
123456789,Strada,6255.47801523545
123456789,Strada,6261.067881068596
123456789,Strada,6841.3085403384575
123456789,Strada,7111.6412890253305
123456789,Strada,7253.830093608462
123456789,Strada,7306.051406587834
123456789,Strada,7541.0083097985835
123456789,Strada,7653.570291065834
123456789,Strada,7692.1071401334575
123456789,Strada,7924.528691439072
123456789,Strada,7931.056878158395
123456789,Strada,7982.770734511772
123456789,Strada,8002.984577203624
123456789,Strada,8071.767970243983
123456789,Strada,8583.260918263224
123456789,Strada,8718.647285527859
123456789,Strada,9061.18993130812
123456789,Strada,9082.637464872041
123456789,Strada,9153.345373926757
123456789,Strada,9383.524182578576
123456789,Strada,9753.749217765278
123456789,Strada,10784.386416678777
123456789,Strada,10886.96621644107
123456789,Strada,11136.368546599002
123456789,Strada,11712.842243664785
123456789,Strada,11826.62251572238
123456789,Strada,11875.890385630431
123456789,Strada,12050.037685894022
123456789,Strada,12073.619532331266
123456789,Strada,12214.093745372023
123456789,Strada,12332.623016915368
123456789,Strada,12396.13452609646
123456789,Strada,12796.964895577032
123456789,Strada,13364.690137439598
123456789,Strada,13636.303102489508
123456789,Strada,13665.211094736993
123456789,Strada,13713.332639350427
123456789,Strada,13816.45808753896
123456789,Strada,14210.615856099017
123456789,Strada,14427.791843833382
123456789,Strada,14958.866311014785
123456789,Strada,15139.405980424857
123456789,Strada,15854.741101542013
123456789,Strada,15863.747438101356
123456789,Strada,15985.708402599785
123456789,Strada,16416.636851606734
123456789,Strada,16490.173774892613
123456789,Strada,18451.596161339887
123456789,Strada,18640.280198631706
123456789,Strada,19231.648176520834
123456789,Strada,19594.56351726287
123456789,Strada,19742.22952675758
123456789,Strada,19748.09544447795
123456789,Strada,19782.75363731278
123456789,Strada,20022.880017921016
123456789,Strada,20271.48568233787
123456789,Strada,20315.791569747653
123456789,Strada,20706.132233562963
123456789,Strada,20870.858386407002
123456789,Strada,21151.177891902404
123456789,Strada,21879.041398990794
123456789,Strada,22563.228177760193
123456789,Strada,23559.561613019672
123456789,Strada,23939.53141999394
123456789,Strada,24298.020141949473
123456789,Strada,24312.02355620351
123456789,Strada,24400.37281301823
123456789,Strada,24609.436909755274
123456789,Strada,25522.281207386928
123456789,Strada,26064.474076486164
123456789,Strada,26936.45021855303
123456789,Strada,27530.729869007693
123456789,Strada,27546.593251023845
123456789,Strada,28150.190176021544
123456789,Strada,29060.925033532687
123456789,Strada,29198.57459719995
123456789,Strada,29441.89614330853
123456789,Strada,29463.88417016398
123456789,Strada,29688.504857920616
123456789,Strada,29798.617221431385
123456789,Strada,29874.803599473966
123456789,Strada,30125.466614423352
123456789,Strada,31015.66813305713
123456789,Strada,31081.21084106815
123456789,Strada,32572.090893683657
123456789,Strada,32586.1860902659
123456789,Strada,34008.491032846476
123456789,Strada,34786.83336230494
123456789,Strada,34799.61398776255
123456789,Strada,34941.03966185119
123456789,Strada,35780.967181737935
123456789,Strada,36155.187050846325
123456789,Strada,36208.85691883044
123456789,Strada,36271.9600173091
123456789,Strada,36493.26105180009
123456789,Strada,36524.842749611315
123456789,Strada,36702.90172257955
123456789,Strada,37122.857394986546
123456789,Strada,38153.104520684145
123456789,Strada,38779.577192500474
123456789,Strada,38912.04551707553
123456789,Strada,38966.718157793235
123456789,Strada,39041.449131926485
123456789,Strada,39275.373535032515
123456789,Strada,39577.58974921543
123456789,Strada,39850.46088884427
123456789,Strada,40257.96345058913
123456789,Strada,40673.745319122405
123456789,Strada,40691.255082525946
123456789,Strada,40920.677595020905
123456789,Strada,41235.41288187051
123456789,Strada,41745.295676808244
123456789,Strada,42753.971585056235
123456789,Strada,42944.359707975775
123456789,Strada,43070.20932316177
123456789,Strada,43348.8468302349
123456789,Strada,43409.4202173128
123456789,Strada,44035.02806272179
123456789,Strada,44474.05213010079
123456789,Strada,45093.93592808823
123456789,Strada,45150.233482173615
123456789,Strada,45276.90390488504
123456789,Strada,45832.27500726458
123456789,Strada,45954.78512452968
123456789,Strada,46115.74242285086
123456789,Strada,46306.224116840196
123456789,Strada,46772.940620784786
123456789,Strada,46910.05043976591
123456789,Strada,47110.911716355724
123456789,Strada,47242.71070839001
123456789,Strada,47273.20144355393
123456789,Strada,47406.17088447087
123456789,Strada,47481.042132408256
123456789,Strada,47483.251256639654
