Seed,Center,Completion Time,Taken Time
123456789,Parcheggio,139.32222552325655,4537.346708498296
123456789,Parcheggio,1761.1295276938422,4588.853367595736
123456789,Parcheggio,1893.3997922391382,4646.854246065089
123456789,Parcheggio,2803.749612223556,5146.824609310842
123456789,Parcheggio,2941.2015233030725,5795.798920137336
123456789,Parcheggio,3167.3803167843275,5859.481794305063
123456789,Parcheggio,3446.12005076214,5946.154484959682
123456789,Parcheggio,3947.0074728080895,5991.540990236825
123456789,Parcheggio,4002.4501322725755,6081.152566118101
123456789,Parcheggio,4056.1985725662034,6382.264054944753
123456789,Parcheggio,4589.218387020014,6392.745097680295
123456789,Parcheggio,4877.956944037602,6506.458548708744
123456789,Parcheggio,5553.4845716398,6961.0657200448995
123456789,Parcheggio,6182.990549520711,7129.098895227599
123456789,Parcheggio,6279.475054278799,7202.18808297137
123456789,Parcheggio,6283.540051610706,7307.563646681496
123456789,Parcheggio,6353.208748977875,7552.832091789302
123456789,Parcheggio,6802.657916841282,7558.06778280313
123456789,Parcheggio,6973.493460128783,7600.348735208371
123456789,Parcheggio,7279.093556799152,7802.696907783093
123456789,Parcheggio,7299.091247142201,7824.086513883775
123456789,Parcheggio,7755.466436164069,8356.98757174986
123456789,Parcheggio,7964.299091923836,8566.496874813269
123456789,Parcheggio,8177.602935117388,8595.099519174135
123456789,Parcheggio,8263.985354153072,8932.787352687921
123456789,Parcheggio,8376.882801314592,9146.584901328233
123456789,Parcheggio,8398.38018891808,9717.699259622026
123456789,Ricarica,8741.999608812375,10570.246825841872
123456789,Parcheggio,8741.999608812375,10618.969752458555
123456789,Ricarica,9213.196179833727,10674.97837183387
123456789,Parcheggio,9213.196179833727,11061.033890631119
123456789,Parcheggio,9269.410866998202,11272.090643569698
123456789,Parcheggio,9343.81313317297,11561.717028081286
123456789,Parcheggio,9821.219674291026,11671.254303515412
123456789,Parcheggio,9986.114536107558,11943.76516897878
123456789,Parcheggio,10121.092196595126,11958.309733547241
123456789,Parcheggio,10306.937611088972,12134.617774443082
123456789,Parcheggio,10455.83924153783,12232.512881151431
123456789,Parcheggio,11122.759979825289,12694.796886011995
123456789,Parcheggio,11383.111518862284,12848.976515710796
123456789,Parcheggio,11660.969677145962,12928.164936893128
123456789,Parcheggio,11725.78357530541,13308.399444247585
123456789,Parcheggio,12072.289085124588,13623.185329615748
123456789,Parcheggio,12097.993274949393,13653.011694690209
123456789,Parcheggio,12202.534324605353,13981.49423149997
123456789,Parcheggio,12300.872124453424,14188.592156057359
123456789,Parcheggio,12462.533569036186,14328.46332789325
123456789,Parcheggio,12679.399326969666,14784.230502952063
123456789,Parcheggio,12926.391368329912,15639.040994269408
123456789,Parcheggio,12966.247073191977,15666.128069069782
123456789,Parcheggio,13116.90955819106,15835.10359783292
123456789,Parcheggio,13224.170458816163,16178.781272908142
123456789,Parcheggio,13287.919336337416,16400.530802423975
123456789,Parcheggio,13426.044487049923,18227.07941499381
123456789,Parcheggio,13764.98275355156,18338.19460750662
123456789,Parcheggio,14199.832741678068,18473.646594164256
123456789,Ricarica,14650.967809122913,18621.358052428113
123456789,Parcheggio,14650.967809122913,19581.492682286807
123456789,Ricarica,14722.791831624707,19593.309360031322
123456789,Parcheggio,14722.791831624707,19738.54504500769
123456789,Ricarica,14814.00308819776,19937.031854791512
123456789,Parcheggio,14814.00308819776,20157.8578504579
123456789,Parcheggio,14829.393030822974,20171.270684496085
123456789,Ricarica,15367.546208336053,20474.00703448303
123456789,Parcheggio,15367.546208336053,20593.205994012213
