Run Index,Seed,Center,Time,E[T_S],E[N_S],E[T_Q],E[N_Q]
1,123456789,Strada,175.31145860277522,NaN,0.0,0.0,0.0
1,123456789,Strada,214.99917658907964,Infinity,0.18459474410991888,0.0,0.0
1,123456789,Strada,269.84722828341194,149.38382137496902,0.5535866435436423,0.0,0.0
1,123456789,Strada,627.1745344818112,506.71112757336823,0.807926820549286,0.0,0.0
1,123456789,Strada,1241.6315683124221,867.8125976172951,1.3978584626304122,0.0,0.0
1,123456789,Strada,1407.796075558785,950.8948512404766,1.350898567980516,0.0,0.0
1,123456789,Strada,1490.0824127345195,1033.181188416211,1.3867436855659172,0.0,0.0
1,123456789,Strada,1500.1884490196885,698.8934952293097,1.3976114047925268,0.0,0.0
1,123456789,Strada,1873.291406222789,710.7216000235325,1.5175889830330156,0.0,0.0
1,123456789,Strada,2459.818435512743,857.3533573460209,1.3941733990904215,0.0,0.0
1,123456789,Strada,2930.5050980101732,874.1573508757889,1.49147897997063,0.0,0.0
1,123456789,Strada,3213.3517466962194,930.726680612998,1.448217864057237,0.0,0.0
1,123456789,Strada,3427.7741350801157,1016.4956359665566,1.4827342699795454,0.0,0.0
1,123456789,Strada,3867.3060917558387,1280.2148099719902,1.6551764711630903,0.0,0.0
1,123456789,Strada,3939.631761466824,1115.0627881173157,1.6982238782167036,0.0,0.0
1,123456789,Strada,4023.604858576515,1157.0493366721612,1.725392095905023,0.0,0.0
1,123456789,Strada,4298.0968856340105,1340.044021377158,1.8706567911804837,0.0,0.0
1,123456789,Strada,4436.233519889595,1455.157883256812,1.9680991229150082,0.0,0.0
1,123456789,Strada,4554.836589697327,1573.760953064544,2.0730855064582525,0.0,0.0
1,123456789,Strada,4584.695325078954,1608.5961443431086,2.1051730118821887,0.0,0.0
1,123456789,Strada,4585.888264793008,1380.1600548244403,2.1067064494226515,0.0,0.0
1,123456789,Strada,4590.142524579886,1384.414314611319,2.111241677221383,0.0,0.0
