Run Index,Seed,Center,Time,E[T_S],E[N_S],E[T_Q],E[N_Q]
1,123456789,Noleggio,42.49010101356517,NaN,0.0,0.0,0.0
1,123456789,Noleggio,73.74953257737472,Infinity,0.42385938556306846,0.0,0.0
1,123456789,Noleggio,128.95243676153933,Infinity,0.6704978821599279,0.0,0.0
1,123456789,Noleggio,151.17138705194182,Infinity,0.7189276235259668,0.0,0.0
1,123456789,Noleggio,194.96003011778964,Infinity,1.0066605552507255,0.0,0.0
1,123456789,Noleggio,333.8983522174201,613.0735384689636,1.836108307805475,0.0,0.0
1,123456789,Noleggio,522.4615174466883,990.1998689275,1.895258953743975,0.0,0.0
1,123456789,Noleggio,797.8058001759285,1816.2327171152208,2.276534861885829,0.0,0.0
1,123456789,Noleggio,2375.3633644595575,8126.462974249736,3.421145200704343,0.0,0.0
1,123456789,Noleggio,2689.538811230719,9697.340208105545,3.605577345681839,0.0,0.0
1,123456789,Noleggio,2827.847452627206,10388.88341508798,3.6737778784482193,0.0,0.0
1,123456789,Noleggio,2939.1916593314,10945.604448608949,3.724018613709195,0.0,0.0
1,123456789,Noleggio,2998.952851247763,5652.0858000535645,3.7693728980780223,0.0,0.0
1,123456789,Noleggio,3147.782750669194,6024.160548607141,3.8275580151307786,0.0,0.0
1,123456789,Noleggio,3231.7643283043017,6276.105281512465,3.8840117310197066,0.0,0.0
1,123456789,Noleggio,3296.9788116178515,4314.499154302076,3.9258661345641954,0.0,0.0
1,123456789,Noleggio,3464.3050706874483,4593.3762527514045,3.9777469007715647,0.0,0.0
1,123456789,Noleggio,3782.51037055168,5229.786852479868,4.147869806144459,0.0,0.0
1,123456789,Noleggio,3906.812554619231,4139.868961478115,4.238615396669932,0.0,0.0
1,123456789,Noleggio,3937.226276799195,4185.489544748061,4.252221488423769,0.0,0.0
1,123456789,Noleggio,3969.092080691509,4233.288250586533,4.26625350535984,0.0,0.0
1,123456789,Noleggio,4117.197413620392,4455.4462499798565,4.328620469099179,0.0,0.0
1,123456789,Noleggio,4143.584030846702,4501.6228301259,4.345631990676473,0.0,0.0
1,123456789,Noleggio,4265.856187543987,4746.16714352047,4.450377073075233,0.0,0.0
1,123456789,Noleggio,4305.139975265347,4834.555665893529,4.491891732830872,0.0,0.0
1,123456789,Noleggio,4533.20297022714,5404.713153298013,4.769001687146786,0.0,0.0
1,123456789,Noleggio,4537.346708498296,5416.108433543691,4.7746921551306665,0.0,0.0
1,123456789,Noleggio,4588.853367595736,5570.628410836011,4.855791165761012,0.0,0.0
1,123456789,Noleggio,4646.854246065089,5759.131265861408,4.957445153988365,0.0,0.0
1,123456789,Noleggio,4657.473194511598,4637.038068339352,4.978062003452509,0.0,0.0
1,123456789,Noleggio,4696.945533017764,4739.666148455384,5.0454770181358395,0.0,0.0
1,123456789,Noleggio,4784.532951548239,4139.494530528848,5.191095439134981,0.0,0.0
1,123456789,Noleggio,4811.1663340106015,4192.761295453573,5.228787787877385,0.0,0.0
1,123456789,Noleggio,5003.810016202954,3924.0417084328105,5.489475393766741,0.0,0.0
1,123456789,Noleggio,5146.824609310842,4148.778926173777,5.642596102979518,0.0,0.0
1,123456789,Noleggio,5302.293414776126,4415.296878399979,5.829001854682312,0.0,0.0
1,123456789,Noleggio,5795.798920137336,5261.306316162052,6.354455135628078,0.0,0.0
1,123456789,Noleggio,5882.471610791955,5422.2698845206305,6.4523709935141405,0.0,0.0
1,123456789,Noleggio,5927.858116069097,5513.042895074915,6.510159236252977,0.0,0.0
1,123456789,Noleggio,6017.469691950374,5705.067700534794,6.636589122694812,0.0,0.0
1,123456789,Noleggio,6261.1680165784,6262.092442541711,7.00103351031725,0.0,0.0
1,123456789,Noleggio,6318.581180777026,6393.32253213857,7.082801731047233,0.0,0.0
1,123456789,Noleggio,6329.0622235125675,6418.776493067742,7.0992247926641,0.0,0.0
1,123456789,Noleggio,6348.899244535142,6469.785975697219,7.133284067921368,0.0,0.0
1,123456789,Noleggio,6442.775674541017,6711.182509998041,7.29162087012024,0.0,0.0
1,123456789,Noleggio,6749.507507031755,7543.74034104433,7.823708964290492,0.0,0.0
1,123456789,Noleggio,6757.72073391808,6620.2792122688115,7.8372924516286355,0.0,0.0
1,123456789,Noleggio,6839.1047500432505,6803.393248550445,7.958226694518659,0.0,0.0
1,123456789,Noleggio,6897.382845877172,6934.518964176768,8.043072706421444,0.0,0.0
1,123456789,Noleggio,7002.758409587298,7184.785927988317,8.207949505328425,0.0,0.0
1,123456789,Noleggio,7175.974417387211,6771.400842211644,8.492589861000946,0.0,0.0
1,123456789,Noleggio,7248.026854695104,6923.511543194973,8.5970437386543,0.0,0.0
